Shoe Name,Price
HOKA  Clifton 9,$144.95
HOKA  Bondi 8,$131.95 - 164.95
Brooks  Ghost 16,$139.95
Asics  Gel-Cumulus 26,$139.95
On Running  Cloudstratus 3,$119.95 - 179.95
Brooks  Glycerin 21,$159.95
New Balance  Fresh Foam X 880v14,$139.95
Asics  Gel Nimbus 26,$159.95 - 160.00
Brooks  Glycerin GTS 21,$159.95
HOKA  Arahi 7,$115.95 - 145.00
Brooks  Ghost Max 2,$149.95
Saucony  Guide 17,$139.95
New Balance  Fresh Foam X 860 v14,$139.95
Brooks  Addiction GTS 15,$139.95
Asics  GT-2000 13,$140.00
Vuori  Sunday Performance Joggers,$98.00
Saucony  Echelon 9,$149.95
Asics  Gel-Kayano 31,$164.95
